BOUTIQUE_CODE;CUSTOMER_CODE_XY;CUSTOMER_CODE_CRM;CUSTOMER_COUNTRY;SALESMAN_CODE;SOURCE;RECEIPT_CODE;TILL_SHORT_DESC;TRANSACTION_DATE;CURRENCY;POSITION;TRANSACTION_TYPE;PRODUCT_CODE;ID_NUMBER;QTY;UNIT_PRICE_LIST_VALUE;ROW_PAID_VALUE
90006761;794E73C0-B0B2-EE11-8103-000D3A2436CD;794E73C0-B0B2-EE11-8103-000D3A2436CD;ESP;RP_2557;RP;-8240400000000000000;1;20240113;AED;5;0;20059645;73853867;1;1980.00;0.00
90006761;794E73C0-B0B2-EE11-8103-000D3A2436CD;794E73C0-B0B2-EE11-8103-000D3A2436CD;ESP;RP_2557;RP;-8240400000000000000;1;20240113;AED;4;0;20059645;73853868;1;1980.00;0.00
90006761;794E73C0-B0B2-EE11-8103-000D3A2436CD;794E73C0-B0B2-EE11-8103-000D3A2436CD;ESP;RP_2557;RP;-8240400000000000000;1;20240113;AED;14;0;20059645;73853869;1;1980.00;0.00
90006761;794E73C0-B0B2-EE11-8103-000D3A2436CD;794E73C0-B0B2-EE11-8103-000D3A2436CD;ESP;RP_2557;RP;-8240400000000000000;1;20240113;AED;13;0;20059645;73853870;1;1980.00;0.00
90006761;794E73C0-B0B2-EE11-8103-000D3A2436CD;794E73C0-B0B2-EE11-8103-000D3A2436CD;ESP;RP_2557;RP;-8240400000000000000;1;20240113;AED;9;0;20059645;73853871;1;1980.00;0.00
90006761;794E73C0-B0B2-EE11-8103-000D3A2436CD;794E73C0-B0B2-EE11-8103-000D3A2436CD;ESP;RP_2557;RP;-8240400000000000000;1;20240113;AED;18;0;20059645;73853872;1;1980.00;0.00
90006761;794E73C0-B0B2-EE11-8103-000D3A2436CD;794E73C0-B0B2-EE11-8103-000D3A2436CD;ESP;RP_2557;RP;-8240400000000000000;1;20240113;AED;3;0;20059645;73853915;1;1980.00;0.00
90006761;794E73C0-B0B2-EE11-8103-000D3A2436CD;794E73C0-B0B2-EE11-8103-000D3A2436CD;ESP;RP_2557;RP;-8240400000000000000;1;20240113;AED;2;0;20059645;73853917;1;1980.00;0.00
90006761;794E73C0-B0B2-EE11-8103-000D3A2436CD;794E73C0-B0B2-EE11-8103-000D3A2436CD;ESP;RP_2557;RP;-8240400000000000000;1;20240113;AED;1;0;20059645;73853919;1;1980.00;0.00
90006761;0C1166EA-23EF-E911-80E0-000D3A239D68;0C1166EA-23EF-E911-80E0-000D3A239D68;ITA;RP_2557;RP;4343800000000000000;1;20191014;AED;1;0;20038192;72957787;1;7940.00;7940.00
90006761;EA007E00-4591-EB11-80EB-000D3A2436CD;EA007E00-4591-EB11-80EB-000D3A2436CD;KWT;RP_9558;RP;6362650000000000000;1;20210331;AED;2;0;20048354;73354376;1;9490.00;7980.00
90006761;6D4DF88D-BE67-E811-80D2-000D3A2436CD;6D4DF88D-BE67-E811-80D2-000D3A2436CD;JPN;RP_3206;RP;2462130000000000000;1;20180603;AED;1;0;20048351;73045308;1;10290.00;10290.00
90006761;5FEB09E1-56F1-ED11-80FD-000D3A2436CD;5FEB09E1-56F1-ED11-80FD-000D3A2436CD;CHN;RP_12140;RP;-9164270000000000000;1;20230512;AED;2;0;20048351;73220901;1;10250.00;10250.00
90006761;69EB2B22-6798-E711-80D0-000D3A239D68;69EB2B22-6798-E711-80D0-000D3A239D68;ARE;RP_2557;RP;1456600000000000000;1;20170911;AED;1;0;20045891;73029804;1;7990.00;7990.00
90006761;8F092665-072E-EA11-80E1-000D3A239D68;8F092665-072E-EA11-80E1-000D3A239D68;KAZ;RP_9558;RP;4644640000000000000;1;20200102;AED;1;0;20038241;73243762;1;6320.00;6320.00
90006761;72E65E51-DEC5-E711-80D0-000D3A239D68;72E65E51-DEC5-E711-80D0-000D3A239D68;KAZ;RP_2558;RP;1679840000000000000;1;20171109;AED;1;0;20038241;73024048;1;6490.00;5840.00
90006761;20D89A0E-B2E6-EA11-80E9-000D3A239D68;20D89A0E-B2E6-EA11-80E9-000D3A239D68;ITA;RP_2558;RP;6317740000000000000;1;20210319;AED;2;0;20038241;72840053;1;6980.00;6965.00
90006761;D1B49F25-B2F2-E711-80D0-000D3A239D68;D1B49F25-B2F2-E711-80D0-000D3A239D68;RUS;RP_2559;RP;1894940000000000000;1;20180105;AED;1;0;20048232;73045307;1;6290.00;6290.00
90006761;08BC7B90-7BA3-E811-80D5-000D3A239D68;08BC7B90-7BA3-E811-80D5-000D3A239D68;NZL;RP_2557;RP;2747910000000000000;1;20180818;AED;1;0;20042035;72213621;1;6500.00;6500.00
90006761;0E04D25E-FE0E-E811-80D1-000D3A239D68;0E04D25E-FE0E-E811-80D1-000D3A239D68;ARE;RP_2559;RP;2028560000000000000;1;20180210;AED;2;0;20035711;72983077;1;3790.00;3790.00
90006761;4008034B-EFA2-EB11-80EB-000D3A2436CD;4008034B-EFA2-EB11-80EB-000D3A2436CD;ISR;RP_2558;RP;6414670000000000000;1;20210414;AED;2;0;20035711;73206446;1;4430.00;4110.00
90006761;B0D6E437-55A8-ED11-80FA-000D3A2436CD;B0D6E437-55A8-ED11-80FA-000D3A2436CD;FRA;RP_15974;RP;8923480000000000000;1;20230208;AED;2;0;20035711;73089923;1;4430.00;4430.00
90006761;642F09C8-F3A0-EE11-8102-000D3A2436CD;642F09C8-F3A0-EE11-8102-000D3A2436CD;LBN;RP_15975;RP;-8320350000000000000;1;20231222;AED;2;0;20035711;73548680;1;4430.00;3560.00
90006761;642F09C8-F3A0-EE11-8102-000D3A2436CD;642F09C8-F3A0-EE11-8102-000D3A2436CD;LBN;RP_15975;RP;-8318040000000000000;1;20231223;AED;2;0;20035711;73548680;1;4430.00;2673.00
90006761;FB7CA0D5-6092-E911-80DC-000D3A239D68;FB7CA0D5-6092-E911-80DC-000D3A239D68;KAZ;RP_3206;RP;3899020000000000000;1;20190618;AED;1;0;20024813;72443466;1;12200.00;11710.00
90006761;18BCD1B1-0651-EC11-80F1-000D3A2436CD;18BCD1B1-0651-EC11-80F1-000D3A2436CD;UKR;RP_2561;RP;7275300000000000000;1;20211129;AED;1;0;20038231;72703199;1;6850.00;6850.00
90006761;F35FC370-54E4-EA11-80E5-000D3A2436CD;F35FC370-54E4-EA11-80E5-000D3A2436CD;RUS;RP_12140;RP;5498580000000000000;1;20200815;AED;2;0;20053425;73349924;1;4260.00;3833.50
90006761;BF229162-FAE3-E811-80D5-000D3A239D68;BF229162-FAE3-E811-80D5-000D3A239D68;SWE;RP_2561;RP;3056520000000000000;1;20181108;AED;2;0;20035707;72982314;1;4390.00;4390.00
90006761;64D73FCE-1934-E911-80D8-000D3A239D68;64D73FCE-1934-E911-80D8-000D3A239D68;SAU;RP_16182;RP;8789490000000000000;1;20230103;AED;1;0;20056681;73023418;1;133700.00;100000.00
90006761;1E56DCBF-B1B0-EB11-80EB-000D3A2436CD;1E56DCBF-B1B0-EB11-80EB-000D3A2436CD;KAZ;RP_12140;RP;6507220000000000000;1;20210508;AED;1;0;20024808;71913191;1;14140.00;13720.00
90006761;9BCACAD4-F726-EA11-80E1-000D3A239D68;9BCACAD4-F726-EA11-80E1-000D3A239D68;ARE;RP_2561;RP;4610620000000000000;1;20191224;AED;1;0;20045907;72678907;1;9310.00;9310.00
90006761;6A9151A0-736D-E911-80DA-000D3A239D68;6A9151A0-736D-E911-80DA-000D3A239D68;KAZ;RP_2559;RP;3725400000000000000;1;20190502;AED;1;0;20045907;73078360;1;11490.00;11210.00
90006761;3761287B-A285-E811-80D4-000D3A239D68;3761287B-A285-E811-80D4-000D3A239D68;SAU;RP_2558;RP;2607910000000000000;1;20180711;AED;2;0;20045907;73087988;1;11490.00;10915.50
90006761;4365716B-AA44-E911-80D9-000D3A239D68;4365716B-AA44-E911-80D9-000D3A239D68;ARE;RP_3206;RP;3527400000000000000;1;20190311;AED;1;0;20045907;73212737;1;11490.00;10147.00
90006761;F3E2B7D6-F286-E711-80D0-000D3A239D68;F3E2B7D6-F286-E711-80D0-000D3A239D68;ARE;RP_2562;RP;1379090000000000000;1;20170821;AED;1;0;20045907;72397096;-1;8510.00;-9000.00
90006761;7D7FD058-4F6D-E711-80CF-000D3A2436CD;7D7FD058-4F6D-E711-80CF-000D3A2436CD;ARE;RP_2562;RP;1260350000000000000;1;20170720;AED;1;0;20045907;72397096;1;9490.00;9000.00
90006761;722FF78F-D4BA-E711-80D0-000D3A239D68;722FF78F-D4BA-E711-80D0-000D3A239D68;CHN;RP_2562;RP;1620210000000000000;1;20171024;AED;1;0;20045907;72397096;1;9490.00;9200.00
