storeId;orderDate;orderId;receiptType;lineNumber;transactionReasonCode;status;salesAssociateid;itemInstanceId;lineType;barcode;currency;unitPrice;itemId;quantity;deliveryType;itemSKU;lineTotal;lineDiscount;lineTaxAmount;customerExternalId;customerId
B0502-TEST;1680771600;RPB0502-TEST9145890000000000000;Sale;1;;Closed;XXXXX;73474913;Sale;73474913;AED;2438000;20089192;1;CarryOut;73474913;2194500;243500;0;CDA67446-8C4A-EB11-80E8-000D3A2436CD;CDA67446-8C4A-EB11-80E8-000D3A2436CD
B0502-TEST;1689498000;RPB0502-TEST-8917730000000000000;Sale;1;;Closed;XXXXX;73438183;Sale;73438183;AED;1421000;20089282;1;CarryOut;73438183;1290000;131000;0;4DE0949C-16DE-ED11-80FC-000D3A2436CD;4DE0949C-16DE-ED11-80FC-000D3A2436CD
B0502-TEST;1677056400;RPB0502-TEST8975070000000000000;Sale;2;;Closed;XXXXX;73542874;Sale;73542874;AED;910000;20089265;1;CarryOut;73542874;910000;0;0;FAA58025-937D-EE11-810A-000D3A239D68;FAA58025-937D-EE11-810A-000D3A239D68
B0502-TEST;1644742800;RPB0502-TEST7560590000000000000;Sale;2;;Closed;XXXXX;73531404;Sale;73531404;AED;1275000;20089276;1;CarryOut;73531404;828750;446250;0;CE6763BD-A18C-EC11-80F9-000D3A239D68;CE6763BD-A18C-EC11-80F9-000D3A239D68
B0502-TEST;1729155600;RPB0502-TEST-7189390000000000000;Sale;1;;Closed;XXXXX;73539607;Sale;73539607;AED;933000;20089268;1;CarryOut;73539607;933000;0;0;0037637C-1B8D-EF11-8109-000D3A2436CD;0037637C-1B8D-EF11-8109-000D3A2436CD
B0502-TEST;1694768400;RPB0502-TEST-8692110000000000000;Sale;1;;Closed;XXXXX;73745575;Sale;73745575;AED;1549000;20089321;1;CarryOut;73745575;1240000;309000;0;BCFD5C74-7A18-ED11-80F7-000D3A2436CD;BCFD5C74-7A18-ED11-80F7-000D3A2436CD
B0502-TEST;1707555600;RPB0502-TEST-8135800000000000000;Sale;3;;Closed;XXXXX;73833423;Sale;73833423;AED;1549000;20089321;1;CarryOut;73833423;1549000;0;0;07ED293B-E8BC-EE11-8103-000D3A2436CD;07ED293B-E8BC-EE11-8103-000D3A2436CD
B0502-TEST;1680512400;RPB0502-TEST9134710000000000000;Sale;1;;Closed;XXXXX;73737885;Sale;73737885;AED;1474000;20089321;1;CarryOut;73737885;1035000;439000;0;771843DD-E30A-EB11-80E6-000D3A2436CD;771843DD-E30A-EB11-80E6-000D3A2436CD
B0502-TEST;1704963600;RPB0502-TEST-8247230000000000000;Sale;1;;Closed;XXXXX;73833401;Sale;73833401;AED;1549000;20089321;1;CarryOut;73833401;1549000;0;0;A519A161-569B-EE11-810C-000D3A239D68;A519A161-569B-EE11-810C-000D3A239D68
B0502-TEST;1722762000;RPB0502-TEST-7468470000000000000;Sale;1;;Closed;XXXXX;73862488;Sale;73862488;AED;1710000;20089321;1;CarryOut;73862488;1710000;0;0;6904EB8E-333C-EF11-8106-000D3A2436CD;6904EB8E-333C-EF11-8106-000D3A2436CD
